overall,season,wikiUrl,title,airdates,ytId,ytLike,ytView
1,S01E01,/wiki/Ned%27s_Bicycle,Ned's Bicycle,31 March 1997,Tnw4Ze2tBIo,3224,2320050
2,S01E02,/wiki/Our_Pig_Winnie,Our Pig Winnie,1 April 1997,_6zLAGb9pVM,3287,2098515
3,S01E03,/wiki/The_Grand_Old_Duke_of_York,The Grand Old Duke of York,2 April 1997,zPoYmcxFra0,13068,5573837
4,S01E04,/wiki/Naughty_Sock,Naughty Sock,3 April 1997,ztJyYLKvtZc,1327,1284407
5,S01E05,/wiki/Painting_with_Hands_and_Feet,Painting with Hands and Feet,4 April 1997,hRUJBpSEbwo,3558,2979559
6,S01E06,/wiki/Lambs,Lambs,7 April 1997,rGy8WsYZbpk,1404,1230215
7,S01E07,/wiki/Playing_in_the_Rain,Playing in the Rain,8 April 1997,jubOUNdvWGU,8195,10386037
8,S01E08,/wiki/Dad%27s_Lorry,Dad's Lorry,9 April 1997,UcH_RcBl1zk,580,488329
9,S01E09,/wiki/Numbers_-_1_(Version_1),Numbers: 1 (Version 1),10 April 1997,qWI7kylE9c0,4149,2923689
10,S01E10,/wiki/Making_Flowers,Making Flowers,11 April 1997,T4SZwL0WvFA,1368,1252014
11,S01E11,/wiki/See-Saw,See-Saw (Margery Daw),14 April 1997,vQjQVufT4pg,5011,2790774
12,S01E12,/wiki/Photo_Faces,Photo Faces,15 April 1997,uPS8EVmMLNQ,768,657060
13,S01E13,/wiki/Owl_Babies,Owl Babies,16 April 1997,9vV-4r1Yr0E,166,133249
14,S01E14,/wiki/Larette_Tap_Dancing,Larette Tap Dancing,17 April 1997,j5EJGIlF-ro,1027,928059
15,S01E15,/wiki/Emily_and_Jester,Emily and Jester,18 April 1997,R1yzS07iV2k,1056,848765
16,S01E16,/wiki/Delilah_Packing,Delilah Packing,21 April 1997,0iFbYXwqfIQ,2912,1871440
17,S01E17,/wiki/Humpty_Dumpty,Humpty Dumpty,22 April 1997,ic2pYtINhUQ,1014,813001
18,S01E18,/wiki/Feeding_the_Chickens,Feeding the Chickens,23 April 1997,MLfVGKnBeaI,11313,8270869
19,S01E19,/wiki/The_Helicopter,Helicopter,24 April 1997,PBOpYVOFDlo,3420,3106840
20,S01E20,/wiki/Balancing,Balancing,25 April 1997,3OnMVtZsAXw,545,566623
21,S01E21,/wiki/Building_a_Barbecue,Building a Barbecue,28 April 1997,f-CM1TXCk0E,1360,1061504
22,S01E22,/wiki/Jumping,Jumping,29 April 1997,-vnDsM3EuFg,1361,1441773
23,S01E23,/wiki/Rockpool,Rockpool,30 April 1997,DE6KuRFD9Ls,378,338804
24,S01E24,/wiki/Drawing_Cacti,Drawing Cacti,1 May 1997,EXBQxJnyyc0,1943,1743912
25,S01E25,/wiki/Washing_the_Bus,Washing the Bus,2 May 1997,_GBRF8oja4U,1043,917090
26,S01E26,/wiki/Caf%C3%A9_Chocolate,Café Chocolate,5 May 1997,HOMCC9rIqe8,59507,25883891
27,S01E27,/wiki/Emily_and_the_Trap,Emily and the Trap,6 May 1997,FQuHi6WrTlE,824,984723
28,S01E28,/wiki/The_Beach,The Beach,7 May 1997,5hR1CGkid9I,18021,10147778
29,S01E29,/wiki/Rolling,Rolling,8 May 1997,drVQIXNmUi4,1378,1395699
30,S01E30,/wiki/Numbers_-_2_(Version_1),Numbers: 2 (Version 1),9 May 1997,da5dQxprds8,713,667219
