overall,season,wikiUrl,title,airdates,ytId
1,S01E01,/wiki/Ned%27s_Bicycle,Ned's Bicycle,31 March 1997,Tnw4Ze2tBIo
2,S01E02,/wiki/Our_Pig_Winnie,Our Pig Winnie,1 April 1997,_6zLAGb9pVM
3,S01E03,/wiki/The_Grand_Old_Duke_of_York,The Grand Old Duke of York,2 April 1997,zPoYmcxFra0
4,S01E04,/wiki/Naughty_Sock,Naughty Sock,3 April 1997,ztJyYLKvtZc
5,S01E05,/wiki/Painting_with_Hands_and_Feet,Painting with Hands and Feet,4 April 1997,hRUJBpSEbwo
6,S01E06,/wiki/Lambs,Lambs,7 April 1997,rGy8WsYZbpk
7,S01E07,/wiki/Playing_in_the_Rain,Playing in the Rain,8 April 1997,jubOUNdvWGU
8,S01E08,/wiki/Dad%27s_Lorry,Dad's Lorry,9 April 1997,UcH_RcBl1zk
9,S01E09,/wiki/Numbers_-_1_(Version_1),Numbers: 1 (Version 1),10 April 1997,qWI7kylE9c0
10,S01E10,/wiki/Making_Flowers,Making Flowers,11 April 1997,T4SZwL0WvFA
11,S01E11,/wiki/See-Saw,See-Saw (Margery Daw),14 April 1997,vQjQVufT4pg
12,S01E12,/wiki/Photo_Faces,Photo Faces,15 April 1997,uPS8EVmMLNQ
13,S01E13,/wiki/Owl_Babies,Owl Babies,16 April 1997,9vV-4r1Yr0E
14,S01E14,/wiki/Larette_Tap_Dancing,Larette Tap Dancing,17 April 1997,j5EJGIlF-ro
15,S01E15,/wiki/Emily_and_Jester,Emily and Jester,18 April 1997,R1yzS07iV2k
16,S01E16,/wiki/Delilah_Packing,Delilah Packing,21 April 1997,0iFbYXwqfIQ
17,S01E17,/wiki/Humpty_Dumpty,Humpty Dumpty,22 April 1997,ic2pYtINhUQ
18,S01E18,/wiki/Feeding_the_Chickens,Feeding the Chickens,23 April 1997,MLfVGKnBeaI
19,S01E19,/wiki/The_Helicopter,Helicopter,24 April 1997,PBOpYVOFDlo
20,S01E20,/wiki/Balancing,Balancing,25 April 1997,3OnMVtZsAXw
21,S01E21,/wiki/Building_a_Barbecue,Building a Barbecue,28 April 1997,f-CM1TXCk0E
22,S01E22,/wiki/Jumping,Jumping,29 April 1997,-vnDsM3EuFg
23,S01E23,/wiki/Rockpool,Rockpool,30 April 1997,DE6KuRFD9Ls
24,S01E24,/wiki/Drawing_Cacti,Drawing Cacti,1 May 1997,EXBQxJnyyc0
25,S01E25,/wiki/Washing_the_Bus,Washing the Bus,2 May 1997,_GBRF8oja4U
26,S01E26,/wiki/Caf%C3%A9_Chocolate,Café Chocolate,5 May 1997,HOMCC9rIqe8
27,S01E27,/wiki/Emily_and_the_Trap,Emily and the Trap,6 May 1997,FQuHi6WrTlE
28,S01E28,/wiki/The_Beach,The Beach,7 May 1997,5hR1CGkid9I
29,S01E29,/wiki/Rolling,Rolling,8 May 1997,drVQIXNmUi4
30,S01E30,/wiki/Numbers_-_2_(Version_1),Numbers: 2 (Version 1),9 May 1997,da5dQxprds8
31,S01E31,/wiki/Swimming_with_Stephanie,Swimming with Stephanie,12 May 1997,EGGHQujKgBQ
32,S01E32,/wiki/Yellow_Cow,Naughty Yellow Cow,13 May 1997,b_q4C5Bgn5g
33,S01E33,/wiki/My_Mum%27s_Keyboard,My Mum's Keyboard,14 May 1997,mj5XvcYessU
34,S01E34,/wiki/Walking_in_the_Woods,Walking in the Woods,15 May 1997,Ltwc9j39emk
35,S01E35,/wiki/Strawberry_Picking,Strawberry Picking,16 May 1997,M9F2sWuSu4I
36,S01E36,/wiki/Shadows,Shadows,19 May 1997,oQJTnbPQYHE
37,S01E37,/wiki/Painting_Swings,Painting Swings,20 May 1997,tfenxMuQAb4
38,S01E38,/wiki/My_Mum%27s_a_Doctor,My Mum's a Doctor,21 May 1997,SmLA0i3fijc
39,S01E39,/wiki/Tweet_Tweet,Tweet Tweet,22 May 1997,yo-wrW8nFSA
40,S01E40,/wiki/Bubbles_(1997_episode),Bubbles,23 May 1997,wQfU6IjBdYo
41,S02E01,/wiki/Gospel_Singing,Gospel Singing,23 June 1997,ExL-lRTD-rk
42,S02E02,/wiki/Mark_and_Zoe_Cooking,Mark and Zoe Cooking,24 June 1997,g0EkaPIMN0Y
43,S02E03,/wiki/Arthur_Robot_Story,Arthur Robot Story,25 June 1997,qWqWlStJ2nU
44,S02E04,/wiki/Hey_Diddle_Diddle,Hey Diddle Diddle,26 June 1997,R2YW5ax3cNQ
45,S02E05,/wiki/Dirty_Dog,Dirty Dog,27 June 1997,GB2x42FJHOI
46,S02E06,/wiki/Going_for_a_Walk,Going for a Walk,30 June 1997,Cxtz-DAP6Cc
47,S02E07,/wiki/Music_with_Debbie,Music with Debbie (1),1 July 1997,hRIoHRDiImY
48,S02E08,/wiki/Numbers_-_3_(Version_1),Numbers: 3 (Version 1),2 July 1997,AX8Pnf12c-0
49,S02E09,/wiki/Haymaking,Haymaking,3 July 1997,ds-RED7qcU0
50,S02E10,/wiki/Naughty_Cloud,Naughty Cloud,4 July 1997,kFFh5_zd9sQ
51,S02E11,/wiki/I_Want_to_Be_a_Vet,I Want to Be a Vet,7 July 1997,s9XyC2Ggsqo
52,S02E12,/wiki/Ned%27s_Potatoes,Ned's Potatoes,8 July 1997,bC-qPAq3PCY
53,S02E13,/wiki/Digging_in_the_Sand_for_Worms,Digging in the Sand for Worms,9 July 1997,V4yuDlSEYl8
54,S02E14,"/wiki/Sarah,_Fraser_and_the_Ducks","Sarah, Fraser and the Ducks",10 July 1997,MjGLCfI4nuU
55,S02E15,/wiki/Throwing,Throwing,11 July 1997,bUzg6Ql8dlg
56,S02E16,/wiki/Lighthouse,Lighthouse,14 July 1997,7X08g79q7u4
57,S02E17,/wiki/Naughty_Bee,Naughty Bee,15 July 1997,up9WrbTpRfQ
58,S02E18,/wiki/Paddling_Pool,Paddling Pool,16 July 1997,YnHwhLj5Xhw
59,S02E19,/wiki/Numbers_-_5_(Version_1),Numbers: 5 (Version 1),17 July 1997,aZL5camLr_c
60,S02E20,/wiki/Swans,Swans,18 July 1997,9Z1owOgb7Ak
61,S03E01,/wiki/Butterfly,Butterfly,1 September 1997,4Ql7IiCzX7c
62,S03E02,/wiki/Carnival,Carnival,2 September 1997,eAiCXKcYNTQ
63,S03E03,/wiki/Naughty_Snake,Naughty Snake,3 September 1997,qH9097C1Tsc
64,S03E04,/wiki/Guessing_Game,Guessing Game,4 September 1997,wQrRKGviKgc
65,S03E05,/wiki/Numbers_-_4_(Version_1),Numbers: 4 (Version 1),5 September 1997,KsCGyePh8dY
66,S03E06,/wiki/Dandelion_Clocks,Dandelion Clocks,8 September 1997,LqEOVrt9Cas
67,S03E07,/wiki/Ice_Skating,Ice Skating,9 September 1997,bz3UxX1hmco
68,S03E08,/wiki/Josie%27s_Pots,Josie's Pots,10 September 1997,iswAebQWpeE
69,S03E09,/wiki/Animals_-_Fish,Animals: Fish,11 September 1997,rA8s2YJxoVg
70,S03E10,/wiki/Hickory_Dickory_Dock,Hickory Dickory Dock,12 September 1997,JA-KtCaeSDg
71,S03E11,/wiki/Numbers_-_6_(Version_1),Numbers: 6 (Version 1),15 September 1997,_-Aa_fWD_xE
72,S03E12,/wiki/Wake_Up!,Wake Up!,16 September 1997,rrUmiEo9H30
